frame_len,frame_protocols,eth_src,eth_dst,ip_src,ip_dst,ip_len,ip_flags,tcp_srcport,tcp_dstport,tcp_len,tcp_flags,tcp_retransmission,tcp_rtt,flow_count,flow_final_count,packets,snort_alert,snort_alert_type,Time,LL_dnp3_src,LL_dnp3_dst,LL_dnp3_len,LL_dnp3_ctl,TL_dnp3_tr_ctl,AL_dnp3_al_func,AL_dnp3_al_ctl,DNP3 Object Count,DNP3 Objects,attack_type
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,50:00.6,390,1,121,0x00000044,0x000000c0,129,0x000000cb,32,255,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,52851,20000,18,0x00000018,0,-1,0,0,0,0,,50:00.8,399,1,73,0x00000044,0x000000c0,129,0x000000ca,16,15,0
196,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,182,0x00004000,20000,52851,142,0x00000018,0,0.000887,0,0,0,0,,50:05.4,968,1,160,0x00000044,0x000000c0,129,0x000000c5,42,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,43991,20000,18,0x00000018,0,-1,0,0,0,0,,50:13.4,601,1,201,0x00000044,0x000000c0,129,0x000000c7,55,2,0
142,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,128,0x00004000,20000,43991,88,0x00000018,0,0.000915,0,0,0,0,,50:14.2,1200,1,208,0x00000044,0x000000c0,129,0x000000c4,58,1,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,50:14.7,631,1,131,0x00000044,0x000000c0,129,0x000000c6,33,0,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,4,1,12,0,,50:17.7,560,1,148,0x00000044,0x000000c0,129,0x000000c8,38,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,49701,20000,18,0x00000018,0,-1,4,1,12,0,,50:23.4,1195,1,172,0x00000044,0x000000c0,129,0x000000c5,46,1,0
239,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,225,0x00004000,20000,49701,185,0x00000018,0,0.002067,0,0,0,0,,50:24.5,456,1,109,0x00000044,0x000000c0,129,0x000000ca,28,127,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,8,2,24,0,,50:25.9,493,1,133,0x00000044,0x000000c0,129,0x000000c9,36,511,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,50:30.7,390,1,121,0x00000044,0x000000c0,129,0x000000cc,32,255,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,50:30.9,399,1,73,0x00000044,0x000000c0,129,0x000000cb,16,15,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,50:35.6,968,1,160,0x00000044,0x000000c0,129,0x000000c6,42,1,0
42,eth:ethertype:arp,00:50:56:9c:9d:70,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,4,1,12,0,,50:43.6,601,1,201,0x00000044,0x000000c0,129,0x000000c8,55,2,0
60,eth:ethertype:arp,00:00:00:aa:00:22,ff:ff:ff:ff:ff:ff,0.0.0.0,0.0.0.0,0,0x00000000,0,0,0,0x00000000,0,-1,0,0,0,0,,50:44.4,1200,1,208,0x00000044,0x000000c0,129,0x000000c5,58,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,41391,20000,18,0x00000018,0,-1,6,1,18,0,,50:44.9,631,1,131,0x00000044,0x000000c0,129,0x000000c7,33,0,0
286,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,272,0x00004000,20000,41391,232,0x00000018,0,0.002077,0,0,0,0,,50:47.8,560,1,148,0x00000044,0x000000c0,129,0x000000c9,38,1,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,57733,20000,18,0x00000018,0,-1,6,1,18,0,,50:53.5,1195,1,172,0x00000044,0x000000c0,129,0x000000c6,46,1,0
293,eth:ethertype:ip:tcp:dnp3,00:50:56:9c:9d:70,00:00:00:aa:00:22,192.168.0.5,172.16.0.2,279,0x00004000,20000,57733,239,0x00000018,0,0.001054,0,0,0,0,,50:54.7,456,1,109,0x00000044,0x000000c0,129,0x000000cb,28,127,0
72,eth:ethertype:ip:tcp:dnp3,00:00:00:aa:00:22,00:50:56:9c:9d:70,172.16.0.2,192.168.0.5,58,0x00004000,38491,20000,18,0x00000018,0,-1,0,0,0,0,,50:56.0,493,1,133,0x00000044,0x000000c0,129,0x000000ca,36,511,0
